PLN_AREA_N,TOT_POP,PCT_FREE,PCT_ILLIT,PCT_TERTIARY,PCT_PRI,PCT_WCOLLAR,TOT_HOUSEHOLDS,AVG_HOUSEHOLD,PCT_ABOVEMEDIN,PCT_ABOVE20K,PCT_BELOW1K,PCT_OWNOCC,PCT_HDB
ANG MO KIO,164.4,17.11195929,4.834605598,31.33608815,25.68870523,32.21343874,62.6,3.083067093,38.33865815,9.744408946,17.25239617,87.38019169,83.70607029
BEDOK,252.2,15.81178465,3.772785078,36.14117647,19.67058824,38.45642049,92.2,3.284164859,47.39696312,16.37744035,13.23210412,89.9132321,65.50976139
BISHAN,82.1,22.14941022,2.096985583,44.64023495,13.65638767,47.87878788,27.8,3.449640288,60.79136691,19.78417266,11.15107914,91.00719424,70.86330935
BOON LAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUKIT BATOK,128.2,17.23563697,2.581182348,35.07604563,18.53612167,36.11111111,44,3.336363636,47.95454545,12.04545455,11.81818182,93.86363636,76.13636364
BUKIT MERAH,133.5,19.8490566,5.660377358,31.62601626,26.66666667,32.84671533,55.2,2.85326087,37.13768116,9.782608696,23.36956522,80.25362319,92.93478261
BUKIT PANJANG,134.4,17.55852843,3.010033445,32.67790262,19.19475655,31.96004994,41.2,3.584951456,52.66990291,10.67961165,6.796116505,95.38834951,83.25242718
BUKIT TIMAH,65.5,25.38071066,0.507614213,67.87072243,5.703422053,74.18478261,23.9,3.719665272,73.22175732,44.35146444,13.38912134,87.44769874,9.623430962
CENTRAL WATER CATCHMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHANGI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHANGI BAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOA CHU KANG,167.4,18.82116544,2.009377093,31.96911197,16.83397683,29.52674897,49.3,3.707910751,54.76673428,8.722109533,6.085192698,96.34888438,88.03245436
CLEMENTI,75,22.42090784,4.264099037,37.62962963,21.62962963,43.79084967,30.1,2.973421927,47.50830565,14.95016611,15.61461794,89.36877076,77.07641196
DOWNTOWN CORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GEYLANG,93.8,19.58874459,4.545454545,32.31132075,23.82075472,32.5732899,37.5,3.050666667,41.33333333,8.8,16.26666667,84.8,78.4
HOUGANG,200.7,18.95991333,2.979414951,30.99878197,20.58465286,30.71192053,64.3,3.461897356,46.96734059,11.19751166,10.57542768,94.09020218,78.38258165
JURONG EAST,75.1,18.69688385,3.541076487,29.8136646,21.42857143,30.36876356,25.5,3.349019608,45.09803922,10.19607843,11.76470588,95.29411765,89.80392157
JURONG WEST,262.5,17.18417695,3.360272225,30.42240152,20.88277171,27.03213611,81.6,3.577205882,48.16176471,7.352941176,8.333333333,93.38235294,92.76960784
