Street,Size,Rent,Y_coord,X_coord
Amstel,8,740,52.20667,4.73472
August Allebeplein,10,710,52.363346,4.836655
Bos en Lommerweg,8,590,52.3808,4.8546
Bos en Lommerweg,12,690,52.3808,4.8546
Coornhertstraat,18,620,51.90528,4.3136822
Coornhertstraat,20,660,51.90528,4.3136822
Coornhertstraat,20,660,51.90528,4.3136822
Coornhertstraat,22,670,51.90528,4.3136822
De Boelelaan,10,630,52.334278,4.868861
Derde Schinkelstraat,22,820,52.353056,4.855753
Emmy Andriessestraat,10,735,52.3469035,5.0106398
Geerdinkhof,12,490,52.3259671,4.9823744
Gouden Leeuw,13,635,52.324251,4.973837
Granidastraat,35,1140,52.37896153,4.84897802
Grubbehoeve,13,315,52.322313,4.976442
Haparandaweg,14,935,52.3948556,4.8776262
Hoofdweg,17,840,52.2896323,4.6666098
Hoofdweg,17,940,52.2896323,4.6666098
Hoofdweg,17,940,52.2896323,4.6666098
Hoofdweg,18,1040,52.2896323,4.6666098
Hoogoord,17,515,52.312844,4.955233
Huigenbos,16,590,52.3058243,4.9587866
IJdoornlaan,16,640,52.3934789,4.9552637
Karthuizersdwarsstraat,10,600,52.37952806,4.8804742
Kwakersstraat,15,1140,52.372518,4.896977
Lange Niezel,8,705,52.374811,4.898926
Leiduinstraat,14,490,52.352973,4.84677
Liendenhof,10,490,52.30916598,4.984125856
Liendenhof,10,490,52.30916598,4.984125856
Lomondlaan,15,490,52.34960271,4.779868923
Maassluisstraat,12,440,52.347131,4.836547
S. F. van Ossstraat,20,690,52.35585,4.81177
Toutenburgstraat,9,490,52.292278,4.968653
Toutenburgstraat,9,540,52.292278,4.968653
Tweede Schinkelstraat,15,830,52.353031,4.8536373
Van Hallstraat,35,1190,52.381919,4.870962
Van Oldenbarneveldtstraat,24,740,52.376428,4.875247
Zwanebloemlaan,20,680,52.3521655,4.9982221
